"pli-tv-bu-vb-pc89","89. Making an oversize sitting mat"
"pli-tv-bu-vb-pc90","90. Making an oversize itch cloth"
"pli-tv-bu-vb-pc91","91. Making an oversize rainy-season robe"
"pli-tv-bu-vb-pc92","92. Making an oversize robe"
"pli-tv-bu-vb-pd1","1. The training rule on receiving a nun’s food"
"pli-tv-bu-vb-pd2","2. Letting a nun give directions to donors"
"pli-tv-bu-vb-pd3","3. Receiving food from a designated family"
"pli-tv-bu-vb-pd4","4. Receiving food in a dangerous place"
"pli-tv-bu-vb-sk1","1. Not wearing the sarong evenly all around"
"pli-tv-bu-vb-sk2","2. Not wearing the upper robe evenly all around"
"pli-tv-bu-vb-sk3","3. Not being well-covered"
"pli-tv-bu-vb-sk4","4. Not being well-covered"
"pli-tv-bu-vb-sk5","5. Being unrestrained"
"pli-tv-bu-vb-sk6","6. Being unrestrained"
"pli-tv-bu-vb-sk7","7. Not lowering the eyes"
"pli-tv-bu-vb-sk8","8. Not lowering the eyes"
"pli-tv-bu-vb-sk9","9. Lifting the robes"
"pli-tv-bu-vb-sk10","10. Lifting the robes"
"pli-tv-bu-vb-sk11","11. Laughing loudly"
"pli-tv-bu-vb-sk12","12. Laughing loudly"
"pli-tv-bu-vb-sk13","13. Being noisy"
"pli-tv-bu-vb-sk14","14. Being noisy"
"pli-tv-bu-vb-sk15","15. Swaying the body"
"pli-tv-bu-vb-sk16","16. Swaying the body"
"pli-tv-bu-vb-sk17","17. Swinging the arms"
"pli-tv-bu-vb-sk18","18. Swinging the arms"
"pli-tv-bu-vb-sk19","19. Swaying the head"
"pli-tv-bu-vb-sk20","20. Swaying the head"
"pli-tv-bu-vb-sk21","21. Hands on hips"
"pli-tv-bu-vb-sk22","22. Hands on hips"
"pli-tv-bu-vb-sk23","23. Covering the head"
"pli-tv-bu-vb-sk24","24. Covering the head"
"pli-tv-bu-vb-sk25","25. Squatting on the heels"
"pli-tv-bu-vb-sk26","26. Clasping the knees"
"pli-tv-bu-vb-sk27","27. Not receiving respectfully"
"pli-tv-bu-vb-sk28","28. Not receiving with attention on the almsbowl"
"pli-tv-bu-vb-sk29","29. Not receiving in the right proportions"
"pli-tv-bu-vb-sk30","30. Not receiving on an even level"
"pli-tv-bu-vb-sk31","31. Not eating respectfully"
"pli-tv-bu-vb-sk32","32. Not eating with attention on the almsbowl"
"pli-tv-bu-vb-sk33","33. Not eating in order"
"pli-tv-bu-vb-sk34","34. Not eating in the right proportions"
"pli-tv-bu-vb-sk35","35. Making food into a heap"
"pli-tv-bu-vb-sk36","36. Covering with rice"
